08930000 034b02b1 011c8052 009a80a8 00dd8093 0131ffe9 00e27f5c 3edc7ebd 000e7f15 3fc97ec4 3ef001fa 3ef200b6 3f260023 3e29fddf 3ef2810b 3e260341 3ffb8174 00a8ff98 004e02af 00870195 005380e3 0175802a 008f0088 01147f48 3fcafe74 3f7e7fed 3ff0007a 3ef57fd5 3ee7ffbb 00be0126 007dff6e 00b07f16
034b7d4f 06bf8000 02cb80c3 015dffe3 00598012 3fad7fe6 3f308079 3e4a7fbb 3efefed4 3f90802a 3fa2008f 3f0c00ef 3f2e7f1f 3f42fed3 3ffb7e3f 3fcf8165 0089016d 0055011a 0050824e 0142ff91 01df802c 00eaff91 00b27e06 0030fecc 00097f1e 001e0007 00298034 3fd1fefd 00447f90 00dbff6d 00be7f79 0079fdde
011cffae 02cbff3d 06ca8000 03740009 013dfeb7 00668001 3ff501c4 3f26820c 0034ff47 0008ff44 0068ff88 3ffe803d 000a7cd0 3f1cfd3f 3fabfe6a 3fc07f61 3fe07f6b 3fe48056 3f3b0078 3fd97f1c 00487e8e 3fbbfe90 002d7edb 002a7fb5 3f87000d 3f47ff22 000e7f4b 00dc7e9d 00fdfe39 00effe31 00eb000e 004bfcd9
009aff58 015d801d 03747ff7 06720000 02f1002e 014d8083 014401a0 3fb1816a 003a007f 3fe700d3 3fec001d 3f4b7fa4 3fd37dbd 3f5e7fbf 3f797f28 00387f44 00c5806b 003f804f 3fed7ee0 00d17e41 0087ff0e 00087e7d 00ef7e67 00747fbd 3f49005d 3f18ff19 3fb67eb9 00a1fe77 010c7e1d 01117d9d 01547eea 0065fd7d
00ddff6d 0059ffee 013d8149 02f17fd2 07b08000 040bfff6 0229811a 00c08005 0112ff14 00887f3e 003a8105 3f7b0024 004d7fc0 3fb5ff7e 3f778068 0136ffec 0156006b 00db7e91 00187db9 00777eae 003780b4 3fbb0010 001481f4 007181b9 3f6d80e9 3f6e8155 00dfff34 001b7e7e 00ceff02 007700f0 3fab81df 00a4008d
01318017 3fad001a 0066ffff 014dff7d 040b800a 0a360000 045302ab 02a67f9d 0278fe16 0139018b 006c8384 003480c0 019202c3 00457ff7 3f5f7fb0 3fd6feec 00fafe5f 00ec7e5d 009f7f19 3f9181f9 3f2f80ee 3f73ff20 3fc90173 01740252 3fcb7f0a 3eda7f80 3f8fffc6 003affff 00587eca 3eeb8025 3fd27fc7 00b580cc
00e200a4 3f30ff87 3ff57e3c 01447e60 0229fee6 04537d55 078e8000 0389fe4b 0182ff0c 011aff7a 014a0176 00550059 00d87fdb 3f6c7fe6 3f35012f 3fd0ff98 3feafffa 00aa7e9e 3fcc7cdd 3f907fff 3f6300c9 000f8154 0020818d 0088ffef 3f667efc 3f28fdc3 00357f5b 3f4a7fd1 3ff77e64 3fa1004b 3f1e817c 3ef600db
3edc0143 3e4a0045 3f26fdf4 3fb1fe96 00c0fffb 02a60063 038981b5 076a8000 04270182 022a0122 00f50210 005b80c8 003b82be 003400f0 009681f1 002c004e 3f58819f 3fc60073 3f69fd89 3f027f79 3e44003f 3f1a808d 3eb00121 3efb004a 3fa2000a 3fdd7e8f 009b817f 3fe58110 000a8061 3f1e819a 3f1b81e5 3f870000
000e00eb 3efe812c 003480b9 003a7f81 011280ec 027881ea 018280f4 04277e7e 08448000 03dc7fd4 01e5ffff 0159ff21 00f980e7 008bfe57 00e6ff2c 002bfe9f 009a7f27 00267ec9 3f22ff05 3ed7ffda 3ea500aa 3ec48065 3e2f813e 3f8e80e1 3fd07f9e 3eeffe3d 00baffc0 3ffb81f9 00400133 00f5818e 004382f6 00eaffeb
3fc9013c 3f90ffd6 000880bc 3fe77f2d 008800c2 01397e75 011a8086 022a7ede 03dc002c 07b18000 04140090 01547fb3 011f0104 01407f6c 00e080c8 3fae813a 00a2ff97 00a07ea2 3fbdfc78 0006000f 3f1affc8 3e6f7f36 3e6effa1 00067fbc 0066ffb0 3ff00049 00860113 3fa90107 3fd5ff55 3fe10138 3fe2007f 0079fea0
3ef07e06 3fa27f71 00688078 3fec7fe3 003afefb 006cfc7c 014a7e8a 00f57df0 01e58001 04147f70 08578000 0428fea8 0253fcfc 00ee7e80 01197dff 00f98015 006281a2 00d9ff26 3ff4fc53 3fcffeaf 3fae7e11 3f0b7e47 3f57fece 00377f96 0031814d 3f777f8e 0095fe8e 001a0146 00787f6e 3fbb8242 3f6f81c6 3fa7fe41
